"ID","nomArch","coteArch","dateEntree","nature","modeEntree","servProd","typeProd","activiteProd","descContenu","natureSupport","mlEntree","nbreArt","dateYear"
1,"Archives municipales d'Avignon","722W","21/01/2003","Archives publiques","Versement",NA,NA,"Patrimoine historique","Dossiers expositions, journées du Patrimoine, dossiers divers, mémoires, correspondance, budgets, délibérations, chrono courrier départ et arrivée. Photos : 19 pochettes+ fiches bristol, 1 pochette (13 tirages 24x36), photos fouilles Balance, cloître des Carmes, musée Calvet.","Support papier","7,5",57,"2003"
2,"Archives municipales d'Avignon","1E","22/01/2003","Archives publiques","Versement",NA,NA,"Etat-civil","Registres et tables décennales naissances, mariages, décès année 1902.","Support papier","0,5",6,"2003"
3,"Archives municipales d'Avignon","HSM","22/01/2003","Archives publiques","Versement",NA,NA,"Centre hospitalier Henri Duffaut","Correspondance à intégrer dans le dossier de Madame ROGALSKI Véronique épouse RUYSSEN (K342)","Support papier","0,01",1,"2003"
4,"Archives municipales d'Avignon","W","23/01/2003","Archives publiques","Versement",NA,NA,"Aménagement urbain","Copie de l'étude historique, de l'étude de réhabilitation et du schéma directeur d'aménagement, dossier bureau.","Support papier","0,1",1,"2003"
5,"Archives municipales d'Avignon","724W","07/02/2003","Archives publiques","Versement",NA,NA,"Action économique","Archives du service supprimé","Support papier","20",40,"2003"
6,"Archives municipales d'Avignon","725W","07/02/2003","Archives publiques","Versement",NA,NA,"Tourisme","Archives du service supprimé","Support papier","17,2",22,"2003"
7,"Archives municipales d'Avignon","69Z","07/02/2003","Archives privées","Dépôt",NA,NA,"SYCOVIA","Archives du syndicat avant dissolution","Support papier","2,4",4,"2003"
8,"Archives municipales d'Avignon","726W","13/02/2003","Archives publiques","Versement",NA,NA,"Aménagement urbain","Dossiers M. DUBUY (16) ; Cartons M. MIRA (4) ; Dossiers Rocade DDE (10) ; Dossiers enquête TGV ; Panneaux et maquettes M. ALLARD, dossiers varia M. MALACHANE ; Photos expositions SAU.","Support papier","18",70,"2003"
9,"Archives municipales d'Avignon","727W","13/02/2003","Archives publiques","Versement",NA,NA,"Voirie circulation","18 articles versés par le bureau de la règlementation : arrêtés de travaux, de manifestation, d'autorisation.","Support papier","1,8",18,"2003"
10,"Archives municipales d'Avignon","728W","13/02/2003","Archives publiques","Versement",NA,NA,"Voirie circulation","19 articles d'arrêtés de stationnement et de circulation ; 4 articles d'autorisations d'occupation du domaine public.","Support mixte","2,3",23,"2003"
11,"Archives municipales d'Avignon","729W","24/02/2003","Archives publiques","Versement",NA,NA,"Affaires générales et militaires","Plis d'huissiers, civil n° 1899 à 6036. Plis d'huissier, pénal n° 313 à 982 (Avril à octobre 2002)","Support papier","4,2",9,"2003"
12,"Archives municipales d'Avignon","2R","15/02/2003","Archives publiques","Versement",NA,NA,"Musée Calvet","Correspondance (25 chemises) ; Comptabilité (7 chemises) ; Dossiers divers (16 chemises).","Support papier","5,2",48,"2003"
13,"Archives municipales d'Avignon","97Fi, 102Fi","03/03/2003",NA,"Achat",NA,NA,"Fonds Sylvain Gagnière","Gravures d'imprimeurs, images pieuses et photographies","Support papier","0,5",250,"2003"
14,"Archives municipales d'Avignon","98Fi","03/03/2003",NA,"Don",NA,NA,"Fonds Jacques Michel","Panneaux d'exposition sur ""Les Suisses""","Support papier","1",50,"2003"
15,"Archives municipales d'Avignon","9Fi","11/03/2003",NA,"Achat",NA,NA,"Collection Chavasse","Cartes postales et photographies sur Avignon","Support papier","0,1",97,"2003"
16,"Archives municipales d'Avignon","9Fi105-115","18/03/2003",NA,"Achat",NA,NA,"Cartes postales","Cartes postales Festival d'Avignon","Support papier","0",11,"2003"
17,"Archives municipales d'Avignon","730W","27/03/2003","Archives publiques","Versement",NA,NA,"Secrétariat général","11 articles listes courrier enregistré.","Support papier","1,1",11,"2003"
18,"Archives municipales d'Avignon","731W","27/03/2003","Archives publiques","Versement",NA,NA,"Secrétariat général","1 article enregistrement permis de conduire et envois recommandés, 1 article agendas, 1 article affranchissement, 1 article fournitures, 1 article habillement, 1 article frais d'entretien.","Support papier","0,7",7,"2003"
19,"Archives municipales d'Avignon","72Z","01/04/2003","Archives privées","Achat",NA,NA,"Papiers de l'avocat Liotard","Pièces de procédures diverses et variées, correspondance (début XIXe siècle).","Support papier","0,6",7,"2003"
20,"Archives municipales d'Avignon","Z","01/04/2003","Archives privées","Achat",NA,NA,"Etude sur les Monts de Vaucluse","2 cahiers ronéotés : 1 cahier pour les textes, 1 cahier pour les figures (2 pièces)","Support mixte","0,05",2,"2003"
21,"Archives municipales d'Avignon","101Fi","01/04/2003","Archives privées","Achat",NA,NA,"Lot de vues stéréoscopiques et grandes cartes de visite","212 clichés positifs sur papier touchant à : Moyen-Orient, France, Midi, Paris et scènes sociales diverses.","Support papier","0,1",228,"2003"
22,"Archives municipales d'Avignon","8fi","01/04/2003","Archives privées","Achat",NA,NA,"Album photographique","Album sur l'hôtel Dominion détruit en 1944 dressé en vue des dommages de guerre. L'auteur est G. Lallement, Architecte DEPT, Avignon.","Support papier","0",1,"2003"
23,"Archives municipales d'Avignon","Fi","03/04/2003","Archives privées","Don",NA,NA,"Illustrations","2 projets d'illustrations (Bicentenaire 1989), 2 maquettes d'affichette électorale (Henri Duffaut).","Support papier","0,05",4,"2003"
24,"Archives municipales d'Avignon","Z","03/04/2003","Archives privées","Dépôt",NA,NA,"Association au soutien de l'enseignement du droit","Registre de comptabilité de l'association avec conventions, bilans et actes de dissolution (1985-1995)","Support papier","0,05",1,"2003"
25,"Archives municipales d'Avignon","732W","10/04/2003","Archives publiques","Versement",NA,NA,"Secrétariat général","18 chemises à sangles séances du Conseil Municipal de janvier à décembre 1999, 1 registre années 1990 à 1994.","Support papier","1,9",19,"2003"
26,"Archives municipales d'Avignon","1Per 289","07/05/2003","Archives privées","Achat",NA,NA,"Périodique","Journal Le Ventoux (1882-1934)","Support papier","0,3",13,"2003"
27,"Archives municipales d'Avignon","1Per 290","07/05/2003","Archives privées","Don",NA,NA,"Périodique","Journal le Dauphiné (1949 et 1974)","Support papier","0,1",2,"2003"
28,"Archives municipales d'Avignon","53Fi","07/05/2003","Archives publiques","Réintégration",NA,NA,"Plans municipaux","1 Plan de 1926. 3 Plans du Bureau de l'Hygiène sur la mortalité avignonnaise (1883-1893). 16 plans d'alignement et d'urbanisme du XIXe siècle.","Support mixte","0,1",20,"2003"
29,"Archives municipales d'Avignon","1Per 291","15/05/2003","Archives privées","Don",NA,NA,"Périodique","Le Méridional (1966 -1980)","Support papier","5",101,"2003"
30,"Archives municipales d'Avignon","733W","26/05/2003","Archives publiques","Versement",NA,NA,"Aménagement urbain","12 cartons","Support papier","7,2",72,"2003"
31,"Archives municipales d'Avignon","734W","26/05/2003","Archives publiques","Versement",NA,NA,"Financiers","11 cartons de 0,60 ml","Support électronique","6,6",11,"2003"
32,"Archives municipales d'Avignon","735W","05/06/2003","Archives publiques","Versement",NA,NA,"Cabinet Yves Duverger","33 articles concernant la précédente délégation de Monsieur DUVERGER (1995-2001).","Support électronique","3,3",28,"2003"
33,"Archives municipales d'Avignon","736W","05/06/2003","Archives publiques","Versement",NA,NA,"Voirie","232 articles concernant la voirie, l'assainissement (archives de M. MIGNON, directeur du service) ; chronos du service de 1982 à 1999 ; vrac des dossiers suivis par le Directeur","Support papier","35",277,"2003"
34,"Archives municipales d'Avignon","M","03/07/2003","Archives publiques","Réintégration",NA,NA,"Concours pour la construction de l'Hôtel de Ville","Document imprimé sur le concours de l'Hotel de Ville (1836)","Support papier","0,05",1,"2003"
35,"Archives municipales d'Avignon","739W","21/07/2003","Archives publiques","Versement",NA,NA,"Eau et assainissement","43 articles concernant les réseaux d'eau potable, d'eaux usées, l'assainissement, les travaux etc...","Support papier","6,5",43,"2003"
36,"Archives municipales d'Avignon","737W","11/07/2003","Archives publiques","Versement",NA,NA,"Commande publique","Candidatures et offres non retenues","Support papier","7",63,"2003"
37,"Archives municipales d'Avignon","738W","11/07/2003","Archives publiques","Versement",NA,NA,"Commande publique","Marchés soldés, négociés...","Support papier","13",66,"2003"
38,"Archives municipales d'Avignon","721W","11/07/2003","Archives publiques","Versement",NA,NA,"Architecture patrimoine historique",NA,"Support papier","12,5",125,"2003"
39,"Archives municipales d'Avignon","Série O","21/07/2003","Archives publiques","Réintégration",NA,NA,"Eau et assainissement",NA,"Support papier","3,2",28,"2003"
40,"Archives municipales d'Avignon","740W","06/08/2003","Archives publiques","Versement",NA,NA,"Personnel-gestion","Cellule 1 : dossiers individuels, ordre de mission, supplément familial, accidents de service, bulletins de salaire 1999.","Support papier","7,3",73,"2003"
41,"Archives municipales d'Avignon","741W","06/08/2003","Archives publiques","Versement",NA,NA,"Personnel-gestion","Cellule 2 : dossiers individuels, accidents de travail, supplément familial, éléments de paie","Support papier","6",60,"2003"
42,"Archives municipales d'Avignon","742W","29/07/2003","Archives publiques","Versement",NA,NA,"Secrétariat général","48 registres d'arrêtés du Maire","Support papier","2,4",48,"2003"
43,"Archives municipales d'Avignon","743W","11/07/2003","Archives publiques","Versement",NA,NA,"Affaires générales et militaires","Plis d'huissier janvier à décembre 2003","Support papier","2,5",5,"2003"
44,"Archives municipales d'Avignon","744W","11/07/2003","Archives publiques","Versement",NA,NA,"Affaires générales et militaires","Plis d'huissier 2002","Support papier","1",2,"2003"
45,"Archives municipales d'Avignon","745W","18/07/2003","Archives publiques","Versement",NA,NA,"Direction générale des services techniques","Dossiers personnel, courrier, commission d'appel d'offres, CAP, dossiers divers.","Support papier","1,7",17,"2003"
46,"Archives municipales d'Avignon","746W","22/07/2003","Archives publiques","Versement",NA,NA,"Architecture patrimoine historique","Réhabilitation du musée Calvet","Support papier","3",22,"2003"
47,"Archives municipales d'Avignon","747W","22/07/2003","Archives publiques","Versement",NA,NA,"Technologies de l'information et de la communication","Progiciel de gestion financière","Support papier","0,3",3,"2003"
48,"Archives municipales d'Avignon","748W","22/07/2003","Archives publiques","Versement",NA,NA,"Aménagement urbain","Plan d'occupation des sols (1998-2001)","Support papier","1,2",8,"2003"
49,"Archives municipales d'Avignon","749W","13/10/2003","Archives publiques","Versement",NA,NA,"Direction générale des services techniques","Dossiers de suivi des affaires par M. DUBUY","Support papier","1",7,"2003"
50,"Archives municipales d'Avignon","100Fi","25/09/2003","Archives privées","Achat",NA,NA,"Fonds N'Guyen","300 plaques de verre","Support papier","0",300,"2003"
51,"Archives municipales d'Avignon","752W","07/10/2003","Archives publiques","Versement",NA,NA,"Financiers","Marchés d'investissement","Support papier","16",160,"2003"
52,"Archives municipales d'Avignon","753W","13/10/2003","Archives publiques","Versement",NA,NA,"Direction générale","Dossiers traités par M. CAMARASA","Support papier","1",2,"2003"
53,"Archives municipales d'Avignon","754W","16/10/2003","Archives publiques","Versement",NA,NA,"Mission prévention sécurité","45 articles concernant le conseil communal de prévention de la délinquance + cassettes audio.","Support papier","5",45,"2003"
54,"Archives municipales d'Avignon","755W","17/10/2003","Archives publiques","Versement",NA,NA,"Communication","Archives internet et canal A","Support papier","0,3",1,"2003"
55,"Archives municipales d'Avignon","Fi","20/10/2003","Archives privées","Achat",NA,NA,"Fonds XXXX",NA,"Support électronique","0,01",1,"2003"
