ID;nomArch;coteArch;dateEntree;nature;modeEntree;servProd;typeProd;activiteProd;descContenu;natureSupport;mlEntree;nbreArt
13;Archives municipales d'Avignon;97Fi, 102Fi;03/03/2003;;Achat;;;Fonds Sylvain Gagnière;Gravures d'imprimeurs, images pieuses et photographies;;0,5;250
15;Archives municipales d'Avignon;9Fi;11/03/2003;;Achat;;;Collection Chavasse;Cartes postales et photographies sur Avignon;;0,1;97
16;Archives municipales d'Avignon;9Fi105-115;18/03/2003;;Achat;;;Cartes postales;Cartes postales Festival d'Avignon;;0;11
19;Archives municipales d'Avignon;72Z;01/04/2003;Archives privées;Achat;;;Papiers de l'avocat Liotard;Pièces de procédures diverses et variées, correspondance (début XIXe siècle).;;0,6;7
20;Archives municipales d'Avignon;Z;01/04/2003;Archives privées;Achat;;;Etude sur les Monts de Vaucluse;2 cahiers ronéotés : 1 cahier pour les textes, 1 cahier pour les figures (2 pièces) ;;0,05;2
21;Archives municipales d'Avignon;101Fi;01/04/2003;Archives privées;Achat;;;Lot de vues stéréoscopiques et grandes cartes de visite;212 clichés positifs sur papier touchant à : Moyen-Orient, France, Midi, Paris et scènes sociales diverses.;;0,1;228
22;Archives municipales d'Avignon;8fi;01/04/2003;Archives privées;Achat;;;Album photographique;Album sur l'hôtel Dominion détruit en 1944 dressé en vue des dommages de guerre. L'auteur est G. Lallement, Architecte DEPT, Avignon.;;0;1
26;Archives municipales d'Avignon;1Per 289;07/05/2003;Archives privées;Achat;;;Périodique;Journal Le Ventoux (1882-1934);;0,3;13
50;Archives municipales d'Avignon;100Fi;25/09/2003;Archives privées;Achat;;;Fonds N'Guyen;300 plaques de verre;;0;300
55;Archives municipales d'Avignon;Fi;20/10/2003;Archives privées;Achat;;;Fonds XXXX;;;0,01;1
56;Archives municipales d'Avignon;10Fi;23/10/2003;Archives privées;Achat;;;Photographie du Rhône (1891);Cliché de Carlos Braun avec grande déchirure au centre.;;0;1
