"ID","nomArch","coteArch","dateEntree","statutJur","modeEntree","servProd","typeProd","activiteProd","descContenu","natureSupport","mlEntree","nbreArt"
3000,"Archives municipales de St Etienne","M","09/04/1974",NA,"Versement",NA,NA,"CONSTRUCTION D'UN GYMNASE A LA TERRASSE ""LES CHAMPS""","CONSTRUCTION D'UN GYMNASE A LA TERRASSE ""LES CHAMPS""","Support papier","0,30",1
3001,"Archives municipales de St Etienne","M","09/04/1974",NA,"Versement",NA,NA,"CONSTRUCTION D'UN GYMNASE A LA TERRASSE ""LES CHAMPS""","CONSTRUCTION D'UN GYMNASE A LA TERRASSE ""LES CHAMPS""","Support papier","0,03",1
3002,"Archives municipales de St Etienne","M","09/04/1974",NA,"Versement",NA,NA,"CONSTRUCTION D'UN GYMNASE A LA TERRASSE ""LES CHAMPS""","CONSTRUCTION D'UN GYMNASE A LA TERRASSE ""LES CHAMPS""","Support papier","0,03",1
3003,"Archives municipales de St Etienne","M","09/04/1974",NA,"Versement",NA,NA,"CONSTRUCTION D'UN GYMNASE A LA TERRASSE ""LES CHAMPS""","CONSTRUCTION D'UN GYMNASE A LA TERRASSE ""LES CHAMPS""","Support papier","0,03",1
3004,"Archives municipales de St Etienne","M","09/04/1974",NA,"Versement",NA,NA,"CONSTRUCTION D'UN GYMNASE A LA TERRASSE ""LES CHAMPS""","CONSTRUCTION D'UN GYMNASE A LA TERRASSE ""LES CHAMPS""","Support papier","0,03",1
3005,"Archives municipales de St Etienne","M","09/04/1974",NA,"Versement",NA,NA,"STADE GEOFFROY GUICHARD","STADE GEOFFROY GUICHARD","Support papier","0,00",1
3006,"Archives municipales de St Etienne","M","09/04/1974",NA,"Versement",NA,NA,"STADE GEOFFROY GUICHARD","STADE GEOFFROY GUICHARD","Support papier","0,00",1
3007,"Archives municipales de St Etienne","M","09/04/1974",NA,"Versement",NA,NA,"STADE GEOFFROY GUICHARD","STADE GEOFFROY GUICHARD","Support papier","0,00",1
3008,"Archives municipales de St Etienne","M","09/04/1974",NA,"Versement",NA,NA,"STADE GEOFFROY GUICHARD","STADE GEOFFROY GUICHARD","Support papier","0,00",1
3009,"Archives municipales de St Etienne","M","09/04/1974",NA,"Versement",NA,NA,"STADE GEOFFROY GUICHARD","STADE GEOFFROY GUICHARD","Support papier","0,00",1
3296,"Archives municipales de St Etienne",NA,"14/07/1975",NA,"Versement",NA,NA,"INSCRIPTIONS AU REGISTRE DU COMMERCE","INSCRIPTIONS AU REGISTRE DU COMMERCE","Support papier","0,45",4
3334,"Archives municipales de St Etienne","M","23/10/1975",NA,"Versement",NA,NA,"GROUPE SCOLAIRE DE LA TERRASSE","GROUPE SCOLAIRE DE LA TERRASSE","Support papier","0,62",5
3335,"Archives municipales de St Etienne","M","24/10/1975",NA,"Versement",NA,NA,"GROUPE SCOLAIRE DE LA METARE NORD-EST","GROUPE SCOLAIRE DE LA METARE NORD-EST","Support papier","0,42",16
3336,"Archives municipales de St Etienne","W","01/10/1975","Archives publiques","Versement",NA,NA,"DOSSIERS DU SECRETAIRE GENERAL","DOSSIERS DU SECRETAIRE GENERAL","Support papier","8,80",142
3340,"Archives municipales de St Etienne","W","12/02/1976",NA,"Versement",NA,NA,"FACTURES CRECHE DES URSULES LA SOURCE BEAULIEU IV JEAN MACE
BUREAU DES AFFAIRES SOCIALES : FACTURES","FACTURES CRECHE DES URSULES LA SOURCE BEAULIEU IV JEAN MACE
BUREAU DES AFFAIRES SOCIALES : FACTURES","Support papier","0,26",2
3341,"Archives municipales de St Etienne","G","19/02/1976",NA,"Versement",NA,NA,"REGISTRE MOBILIERE ET PATENTES","REGISTRE MOBILIERE ET PATENTES","Support papier","0,00",16
3346,"Archives municipales de St Etienne","W","09/03/1976",NA,"Versement",NA,NA,"REGISTRE OBJETS TROUVES.NOTES DE SERVICE.CORRESPONDANCE DES ENQUETES","REGISTRE OBJETS TROUVES.NOTES DE SERVICE.CORRESPONDANCE DES ENQUETES","Support papier","0,90",9
3347,"Archives municipales de St Etienne",NA,"12/03/1976",NA,"Versement",NA,NA,"REGISTRES FONCIERS ET PERCEPTION","REGISTRES FONCIERS ET PERCEPTION","Support papier","0,00",0
3348,"Archives municipales de St Etienne","K","01/04/1976",NA,"Versement",NA,NA,"ELECTIONS CANTONALES","ELECTIONS CANTONALES","Support papier","0,00",0
3354,"Archives municipales de St Etienne","N","21/04/1976",NA,"Versement",NA,NA,"CONCESSIONS DE TERRAINS","CONCESSIONS DE TERRAINS","Support papier","0,00",3
3360,"Archives municipales de St Etienne","K","25/05/1976",NA,"Versement",NA,NA,"Organisation des élections","Organisation des élections","Support papier","0,00",10
